package,npm_link,version,size_bytes,file_count,nonempty_file_count,dependencies,dev_dependencies
puppeteer-fixed-linux,https://www.npmjs.com/package/puppeteer-fixed-linux,0.0.1,374602830,530,514,"{""puppeteer-core"": ""^3.1.0""}",{}
dropdown-picker,https://www.npmjs.com/package/dropdown-picker,0.0.1,372746391,1016,1016,"{""react"": ""18.0.0"", ""react-native"": ""0.69.2""}","{""@babel/core"": ""^7.12.9"", ""@babel/runtime"": ""^7.12.5"", ""@react-native-community/eslint-config"": ""^2.0.0"", ""babel-jest"": ""^26.6.3"", ""eslint"": ""^7.32.0"", ""jest"": ""^26.6.3"", ""metro-react-native-babel-preset"": ""^0.70.3"", ""react-test-renderer"": ""18.0.0""}"
hbui-mobile-storybook-app,https://www.npmjs.com/package/hbui-mobile-storybook-app,1.0.0,383232435,1059,1059,"{""@react-native-async-storage/async-storage"": ""^1.17.3"", ""@react-native-community/datetimepicker"": ""^6.1.2"", ""@react-native-community/slider"": ""^4.2.1"", ""react"": ""18.2.0"", ""react-dom"": ""18.2.0"", ""react-native"": ""0.71.3"", ""react-native-safe-area-context"": ""^4.4.1"", ""react-native-web"": ""^0.17.7""}","{""@babel/core"": ""^7.12.9"", ""@babel/runtime"": ""^7.12.5"", ""@react-native-community/eslint-config"": ""^3.2.0"", ""@storybook/addon-actions"": ""7.1.1"", ""@storybook/addon-controls"": ""7.1.1"", ""@storybook/addon-essentials"": ""7.1.1"", ""@storybook/addon-links"": ""7.1.1"", ""@storybook/addon-ondevice-actions"": ""6.5.4"", ""@storybook/addon-ondevice-backgrounds"": ""6.5.4"", ""@storybook/addon-ondevice-controls"": ""6.5.4"", ""@storybook/addon-ondevice-notes"": ""6.5.4"", ""@storybook/addon-react-native-web"": ""0.0.21"", ""@storybook/react"": ""7.1.1"", ""@storybook/react-native"": ""6.5.4"", ""@storybook/testing-library"": ""0.2.0"", ""@testing-library/react-native"": ""^11.3.0"", ""@types/jest"": ""^29.4.3"", ""@types/react"": ""18.0.25"", ""@types/react-native"": ""0.71.3"", ""@types/react-test-renderer"": ""18.0.0"", ""@typescript-eslint/eslint-plugin"": ""^5.17.0"", ""@typescript-eslint/parser"": ""^5.17.0"", ""babel-jest"": ""^29.4.3"", ""babel-loader"": ""^8.2.4"", ""babel-plugin-module-resolver"": ""^4.1.0"", ""babel-plugin-react-native-web"": ""^0.17.7"", ""eslint"": ""^7.32.0"", ""jest"": ""^29.4.3"", ""metro-react-native-babel-preset"": ""^0.67.0"", ""react-test-renderer"": ""18.2.0"", ""typescript"": ""^4.7.4""}"
dotnet-sdk-3.1-linux-arm64,https://www.npmjs.com/package/dotnet-sdk-3.1-linux-arm64,3.1.1007,358106245,2336,2334,{},{}
deno-file-server,https://www.npmjs.com/package/deno-file-server,0.144.0,329703416,9,8,"{""execa"": ""^6.1.0""}","{""npm-run-all"": ""^4.1.5"", ""prettier"": ""^2.7.1""}"
@hytopia.com/examples,https://www.npmjs.com/package/@hytopia.com/examples,1.0.64,372901003,7077,7075,{},{}
react-native-expo-base-template,https://www.npmjs.com/package/react-native-expo-base-template,1.0.0,324722858,38209,38123,"{""@react-navigation/native"": ""^6.1.7"", ""@types/react"": ""~18.2.14"", ""expo"": ""^49.0.3"", ""expo-status-bar"": ""~1.6.0"", ""jest"": ""^29.2.1"", ""jest-expo"": ""^49.0.0"", ""react"": ""18.2.0"", ""react-native"": ""0.72.3"", ""react-native-safe-area-context"": ""4.6.3"", ""react-native-screens"": ""~3.22.0"", ""styled-components"": ""^6.0.3""}","{""@babel/core"": ""^7.20.0"", ""@testing-library/jest-native"": ""^5.4.2"", ""@testing-library/react-native"": ""^12.1.2"", ""@typescript-eslint/eslint-plugin"": ""^5.62.0"", ""eslint"": ""^8.44.0"", ""eslint-config-standard-with-typescript"": ""^36.0.0"", ""eslint-plugin-import"": ""^2.27.5"", ""eslint-plugin-n"": ""^15.7.0"", ""eslint-plugin-prettier"": ""^4.2.1"", ""eslint-plugin-promise"": ""^6.1.1"", ""eslint-plugin-react"": ""^7.32.2"", ""eslint-plugin-react-hooks"": ""^4.6.0"", ""eslint-plugin-react-native"": ""^4.0.0"", ""husky"": ""^8.0.3"", ""lint-staged"": ""^13.2.3"", ""prettier"": ""^3.0.0"", ""typescript"": ""^5.1.6""}"
rn-gradients,https://www.npmjs.com/package/rn-gradients,0.0.2,360128553,5052,5051,{},{}
@ixe1/codexel,https://www.npmjs.com/package/@ixe1/codexel,0.1.4,330642692,11,11,{},{}
@lobehub/assets,https://www.npmjs.com/package/@lobehub/assets,1.2.0,371459824,135,135,{},{}
obs-studio-node-extra,https://www.npmjs.com/package/obs-studio-node-extra,0.10.10,317331640,1182,1182,{},"{""@types/chai"": ""^4.1.7"", ""@types/mocha"": ""^5.2.5"", ""@types/node"": ""^12.7.2"", ""archiver"": ""^3.1.1"", ""aws-sdk"": ""^2.585.0"", ""chai"": ""^4.2.0"", ""colors"": ""^1.4.0"", ""electron"": ""6.0.3"", ""electron-mocha"": ""^8.2.2"", ""mocha"": ""^7.1.0"", ""mocha-junit-reporter"": ""^1.22.0"", ""node-addon-api"": ""^3.0.0"", ""request"": ""^2.88.0"", ""ts-node"": ""^7.0.1"", ""typedoc"": ""^0.11.1"", ""typedoc-default-themes"": ""^0.5.0"", ""typedoc-plugin-markdown"": ""^2.2.17"", ""typescript"": ""^2.9.2"", ""uuid"": ""^3.0.1"", ""wait-queue"": ""^1.1.3""}"
io.cordova.hellocordova,https://www.npmjs.com/package/io.cordova.hellocordova,2.1.0,361034091,868,866,"{""cordova-android"": ""^7.1.4"", ""cordova-plugin-card-io"": ""^2.1.1"", ""cordova-plugin-whitelist"": ""^1.3.3""}",{}
xokit-test,https://www.npmjs.com/package/xokit-test,0.0.209,324152768,1757,1757,"{""exokit-core"": ""0.0.235"", ""isolator"": ""0.0.9"", ""magicleap"": ""0.0.15"", ""minimist"": ""^1.2.0"", ""mkdirp"": ""^0.5.1"", ""repl.history"": ""^0.1.4"", ""rimraf"": ""^2.6.2"", ""upng-js"": ""^2.1.0"", ""webgl-to-opengl"": ""0.0.3"", ""window-worker"": ""0.0.60""}",{}
@kumos/tree-sitter-parsers-linux-x64-musl,https://www.npmjs.com/package/@kumos/tree-sitter-parsers-linux-x64-musl,0.1.11,277502338,4,4,{},{}
aslan-web-helper,https://www.npmjs.com/package/aslan-web-helper,0.0.3,314849575,6108,6101,"{""@types/node"": ""^14.14.35""}",{}
cordova-plugin-firebase-htb3,https://www.npmjs.com/package/cordova-plugin-firebase-htb3,0.1.21,304020640,596,595,{},{}
locationboox,https://www.npmjs.com/package/locationboox,0.0.1,303143851,4272,4269,"{""react"": ""16.8.6"", ""react-native"": ""0.60.5""}","{""@babel/core"": ""7.5.5"", ""@babel/runtime"": ""7.5.5"", ""@react-native-community/eslint-config"": ""0.0.3"", ""babel-jest"": ""24.9.0"", ""eslint"": ""6.2.2"", ""jest"": ""24.9.0"", ""metro-react-native-babel-preset"": ""0.54.1"", ""react-test-renderer"": ""16.8.6""}"
pakkk-formdataexample,https://www.npmjs.com/package/pakkk-formdataexample,1.4.0,286852374,155,154,{},"{""@angular/common"": ""5.2.1"", ""@angular/compiler"": ""5.2.1"", ""@angular/compiler-cli"": ""5.2.1"", ""@angular/core"": ""5.2.1"", ""@angular/http"": ""5.2.1"", ""@angular/platform-browser"": ""5.2.1"", ""@angular/platform-browser-dynamic"": ""5.2.1"", ""@angular/platform-server"": ""5.2.1"", ""@types/jasmine"": ""2.8.3"", ""@types/jasminewd2"": ""2.0.2"", ""@types/node"": ""7.0.13"", ""@types/tapable"": ""0.2.4"", ""@types/webpack"": ""2.2.15"", ""angular2-template-loader"": ""0.6.2"", ""awesome-typescript-loader"": ""3.4.1"", ""cash-cp"": ""0.2.0"", ""codelyzer"": ""4.0.1"", ""copy-webpack-plugin"": ""4.4.1"", ""core-js"": ""2.4.1"", ""cross-env"": ""5.0.0"", ""css-loader"": ""0.28.9"", ""exports-loader"": ""0.7.0"", ""extract-zip"": ""1.6.6"", ""file-loader"": ""1.1.5"", ""gulp"": ""3.9.1"", ""gulp-inline-ng2-template"": ""4.1.0"", ""html-loader"": ""0.5.5"", ""html-webpack-plugin"": ""2.29.0"", ""istanbul-instrumenter-loader"": ""3.0.0"", ""jasmine-core"": ""2.8.0"", ""jquery"": ""3.2.1"", ""karma"": ""2.0.0"", ""karma-chrome-launcher"": ""2.0.0"", ""karma-coverage"": ""1.1.1"", ""karma-jasmine"": ""1.1.0"", ""karma-remap-coverage"": ""0.1.5"", ""karma-source-map-support"": ""1.2.0"", ""karma-sourcemap-loader"": ""0.3.7"", ""karma-spec-reporter"": ""0.0.32"", ""karma-webpack"": ""2.0.9"", ""moment"": ""2.20.1"", ""node-sass"": ""4.5.3"", ""progress"": ""2.0.0"", ""raw-loader"": ""0.5.1"", ""resolve-url-loader"": ""2.0.2"", ""rimraf"": ""2.6.1"", ""rxjs"": ""5.5.6"", ""sass-loader"": ""6.0.6"", ""source-map-loader"": ""0.2.3"", ""source-map-support"": ""0.5.3"", ""style-loader"": ""0.19.1"", ""thin2-auth"": ""~0.1.0"", ""thin2-config"": ""~0.1.0"", ""thin2-log"": ""~0.1.0"", ""to-string-loader"": ""1.1.5"", ""ts-node"": ""4.1.0"", ""tslib"": ""1.9.0"", ""tslint"": ""5.9.1"", ""tslint-loader"": ""3.5.3"", ""typescript"": ""2.5.3"", ""url-loader"": ""0.6.2"", ""webpack"": ""3.11.0"", ""webpack-angular-externals"": ""1.0.2"", ""webpack-rxjs-externals"": ""1.1.0"", ""zone.js"": ""0.8.5""}"
react-native-securam,https://www.npmjs.com/package/react-native-securam,0.0.1,290027008,936,936,"{""@react-navigation/native"": ""^6.0.13"", ""@react-navigation/native-stack"": ""^6.9.0"", ""@react-navigation/stack"": ""^6.3.1"", ""@reduxjs/toolkit"": ""^1.8.5"", ""axios"": ""^0.27.2"", ""expo"": ""^44.0.0"", ""expo-localization"": ""~12.0.0"", ""i18n-js"": ""^3.8.0"", ""react"": ""17.0.1"", ""react-native"": ""0.64.3"", ""react-native-gesture-handler"": ""^2.6.2"", ""react-native-safe-area-context"": ""3.2.0"", ""react-native-screens"": ""~3.4.0"", ""react-redux"": ""^8.0.4"", ""redux-logger"": ""^3.0.6"", ""redux-saga"": ""^1.2.1""}","{""@babel/core"": ""^7.12.9"", ""@babel/runtime"": ""^7.12.5"", ""@react-native-community/eslint-config"": ""^2.0.0"", ""babel-jest"": ""^26.6.3"", ""eslint"": ""7.14.0"", ""jest"": ""^26.6.3"", ""metro-react-native-babel-preset"": ""^0.64.0"", ""react-test-renderer"": ""17.0.1""}"
react-skia,https://www.npmjs.com/package/react-skia,0.0.0,269884938,3595,3268,"{""canvaskit-wasm"": ""0.38.0"", ""react-reconciler"": ""^0.27.0""}","{""@babel/plugin-proposal-nullish-coalescing-operator"": ""^7.18.6"", ""@types/jest"": ""^28.1.6"", ""@types/pixelmatch"": ""^5.2.4"", ""@types/pngjs"": ""^6.0.1"", ""@types/react-native"": ""0.70.6"", ""@types/react-reconciler"": ""^0.26.7"", ""@types/ws"": ""^8.5.3"", ""eslint"": ""8.21.0"", ""eslint-config-react-native-wcandillon"": ""3.9.0"", ""eslint-plugin-reanimated"": ""2.0.0"", ""jest"": ""28.1.3"", ""merge-dirs"": ""^0.2.1"", ""pixelmatch"": ""^5.3.0"", ""pngjs"": ""^6.0.0"", ""react"": ""18.1.0"", ""react-native"": ""0.71.7"", ""react-native-builder-bob"": ""^0.18.2"", ""ts-jest"": ""^28.0.7"", ""typescript"": ""4.8.3"", ""ws"": ""^8.11.0""}"
