package,version,size_bytes,file_count,nonempty_file_count,jt_afferent,jt_efferent_total,jt_efferent_internal,jt_efferent_external,jt_instability,jt_in_degree,jt_out_degree,jt_in_degree_centrality,jt_out_degree_centrality,jt_total_degree_centrality,jt_dependency_score,jt_warning_count,jt_warning_messages
@wachi-cli/win32-x64,0.3.22,117183147,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@synsci/cli2-linux-arm64-musl,1.0.9,183175189,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@mcpmesh/cli-darwin-x64,2.1.0,154363113,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@toothfairyai/tfcode-windows-arm64,1.0.44,197006352,433,433,0,0,0,0,0,0,0,0,0,0,0,0,
@menloresearch/uranus-element,0.0.5,159803421,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@aws-cdk/aws-quicksight,1.204.0,344224487,12,12,1,6,0,6,0.8571,1,0,0.0002,0,0.0001,7,0,
@zenku/cli-linux-arm64,0.1.75,168562583,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
nipurn-xprompt-new-linux-x64-baseline-musl,0.0.1,179118267,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
depository-deploy-linux,1.11.5,320899834,1684,1684,0,0,0,0,0,0,0,0,0,0,0,0,
numasec-linux-arm64,1.2.1,126851158,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@nativescript/canvas,2.0.32,169726340,814,814,0,0,0,0,0,0,0,0,0,0,0,0,
bokehjs,1.4.0,129244291,1628,1621,0,68,0,68,1,0,0,0,0,0,68,0,
droplocation-cypress-binaries-win32,12.8.1,179318830,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
irises-darwin-x64,1.0.29,223897429,1015,1014,0,0,0,0,0,0,0,0,0,0,0,0,
chinese-poetry,2.0.1,361968414,2248,2248,0,0,0,0,0,0,0,0,0,0,0,0,
@bentley/imodeljs-darwin-arm64,5.10.21,126969721,169,169,0,0,0,0,0,0,0,0,0,0,0,0,
@synsci/cli2-darwin-x64,1.0.9,151795456,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@luxamm/ethers-rs-mobile,0.0.8,183314539,11,11,0,0,0,0,0,0,0,0,0,0,0,0,
@kutalia/whisper-node-addon,1.1.0,124819978,40,40,0,8,0,8,1,0,0,0,0,0,8,0,
@traces-sh/traces-linux-arm64,0.5.8,116853239,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@mcpmesh/cli-linux-arm64,2.1.0,143960404,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@machina.ai/cell-code-darwin-x64,1.14.28-rc7,109626035,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@adens/openwa,1.2.1,324489660,263,263,0,35,1,34,1,0,1,0,0.0002,0.0001,35,0,
@bunny.net/cli-windows-x64,0.4.2,118127362,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@esy-nightly/esy,0.9.2,202383862,37,36,0,0,0,0,0,0,0,0,0,0,0,0,
hispasat-ui,0.0.778,254229362,256,256,0,1,0,1,1,0,0,0,0,0,1,0,
@toothfairyai/tfcode-darwin-x64,1.0.44,150767692,433,433,0,0,0,0,0,0,0,0,0,0,0,0,
@cyclonedx/cdxgen-plugins-bin-linux-arm64,1.8.0,189194018,11,10,0,0,0,0,0,0,0,0,0,0,0,0,
irises-windows-x64,1.0.29,387746817,1038,1037,0,0,0,0,0,0,0,0,0,0,0,0,
@machina.ai/cell-code-windows-x64-baseline,1.14.28-rc7,158693052,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
numasec-darwin-arm64,1.2.1,85524055,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
nipurn-xprompt-new-linux-arm64,0.0.2,184619125,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
rocketbatch,1.0.78,164885311,209,209,0,2,0,2,1,0,0,0,0,0,2,0,
unicode-6.3.0,0.7.5,139167256,1838,1838,0,0,0,0,0,0,0,0,0,0,0,0,
consortium-code-darwin-x64,0.2.0-canary.20260417210700,130993163,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
nipurn-xprompt-new-darwin-x64-baseline,0.0.1,147816305,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
consortium-code-linux-arm64,0.2.0-canary.20260417210700,167417037,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-app-state-aware-focus-effect,0.1.1,171665394,18255,14516,0,24,0,24,1,0,0,0,0,0,24,0,
@embedder/embedder-linux-arm64,0.3.110,134335165,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@opentrace/opentrace,0.4.0,218760207,737,737,0,52,0,52,1,0,0,0,0,0,52,0,
unicode-11.0.0,0.7.8,145410552,2377,2377,0,0,0,0,0,0,0,0,0,0,0,0,
omniboard,2.16.1,283074342,25444,25368,0,34,0,34,1,0,0,0,0,0,34,0,
nipurn-xprompt-new-darwin-x64,0.0.1,147816296,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@nuggetslife/vc-rn,0.6.2,287645353,216,216,0,20,1,19,1,0,1,0,0.0002,0.0001,20,0,
@amazon-devices/sentry__react-native,1.0.15,116233237,316,316,0,29,0,29,1,0,0,0,0,0,29,0,
@machina.ai/cell-code-linux-arm64-musl,1.14.28-rc7,140839482,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
depository-deploy-macos,1.11.5,321307107,1684,1684,0,0,0,0,0,0,0,0,0,0,0,0,
nodejs-mobile-react-native,18.20.4,375111397,1212,1212,0,5,0,5,1,0,0,0,0,0,5,0,
@sparkz-community/common-client-lib,3.0.10,194953228,1076,0,0,33,0,33,1,0,0,0,0,0,33,0,
@mayur-mindruby/haraka-wildduck-plugin,5.8.42,177002281,20132,0,0,18,0,18,1,0,0,0,0,0,18,0,
nipurn-xprompt-new-linux-arm64-musl,0.0.2,179114170,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
nipurn-xprompt-new-darwin-arm64,0.0.1,142698336,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
@nangohq/shared,0.49.0,135515495,9687,9671,0,45,0,45,1,0,0,0,0,0,45,0,
turtlecode-backend-linux-x64,0.3.22,151164435,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@yahoo/uds-v5-wip-cli,1.59.0,161411265,4,4,0,10,0,10,1,0,0,0,0,0,10,0,
@operato/scene-urdf,10.0.0-beta.31,147070862,330,330,0,23,0,23,1,0,0,0,0,0,23,0,
nipurn-xprompt-new-linux-x64,0.0.2,185106541,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
turtlecode-backend-linux-x64-baseline,0.3.22,150320677,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@nozomioai/nia-windows-x64,0.5.2,116981904,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@babylonjs/react-native-windows-0-65,1.8.6,736610323,527,525,0,18,0,18,1,0,0,0,0,0,18,0,
react-native-tor,0.1.8,118987805,551,544,0,21,0,21,1,0,0,0,0,0,21,0,
@postman/pm-bin-macos-arm64,1.37.0,287395517,886,886,0,0,0,0,0,0,0,0,0,0,0,0,
@embedder/embedder-windows-x64,0.3.110,147003698,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
numasec-windows-x64,1.2.1,139433008,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@nordsym/apiclaw,2.7.0,326590074,295,295,0,19,0,19,1,0,0,0,0,0,19,0,
@ironfish/rust-nodejs-linux-x64-gnu,2.10.0,221618048,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@cal88/interactive-brokers-mcp,2.2.1,265324522,607,607,0,24,0,24,1,0,0,0,0,0,24,0,
irises-darwin-arm64,1.0.29,211987889,1015,1014,0,0,0,0,0,0,0,0,0,0,0,0,
turtlecode-backend-windows-x64-baseline,0.3.22,163146628,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@nhtio/create-ts-lib-starter,1.20260501.1,299914491,18993,18991,0,30,0,30,1,0,0,0,0,0,30,0,
@fugood/node-llama-linux-x64-cuda,1.7.1,210355003,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@ironfish/rust-nodejs-linux-x64-musl,2.10.0,221526893,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-darwin-arm64,0.0.71,109466011,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-tdlib,2.3.0,151640573,64,64,0,9,0,9,1,0,0,0,0,0,9,0,
athithan-dev,1.3.27,168178478,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
numasec-windows-arm64,1.2.1,136670262,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
vite-plugin-norg,4.0.14,991940428,53,53,0,25,0,25,1,0,0,0,0,0,25,0,
turtlecode-backend-windows-x64,0.3.22,163819890,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@aml-org/als-server,7.1.6,265671227,19,19,0,23,0,23,1,0,0,0,0,0,23,0,
turtlecode-backend-linux-arm64,0.3.22,150560317,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
numasec-linux-arm64-musl,1.2.1,121291680,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
deepspeech-gpu,0.9.3,118393905,43,43,0,11,0,11,1,0,0,0,0,0,11,0,
reredd-windows-x64,2.1.22,121479626,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
turtlecode-backend-linux-x64-baseline-musl,0.3.22,145491435,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
appium-webdriverio,1.0.4,216016909,15573,15540,0,11,0,11,1,0,0,0,0,0,11,0,
@codemod.com/cli-darwin-x64,1.10.5,130662452,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
ui-test-tauros,0.1.17,273344761,1062,1060,0,37,0,37,1,0,0,0,0,0,37,0,
nipurn-xprompt-new-windows-x64,0.0.1,197654294,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@mcpmesh/cli-linux-x64,2.1.0,153376094,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
irises-linux-x64,1.0.29,302852404,1023,1022,0,0,0,0,0,0,0,0,0,0,0,0,
miclaw-app,0.12.11,121695932,1825,1824,0,30,1,29,1,0,1,0,0.0002,0.0001,30,0,
opencode-codex-orch-linux-x64,0.1.8,116022019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
@zigc/darwin-arm64,0.16.0,185348810,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
turtlecode-backend-windows-arm64,0.3.22,160379768,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@d3k/darwin-arm64,0.0.175,70591304,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
ideavo-code-linux-x64-baseline,1.3.1-7.5,154309698,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@finsemble/finsemble-core,9.10.15,221178393,3447,3447,0,129,0,129,1,0,0,0,0,0,129,0,
@aws-prototyping-sdk/cdk-graph-plugin-diagram,0.19.68,210204411,3270,3261,0,57,0,57,1,0,0,0,0,0,57,0,
@zigc/win32-arm64,0.16.0,158088350,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@superinterface/server,1.9.11,136137416,1086,1085,0,40,1,39,1,0,1,0,0.0002,0.0001,40,0,
turtlecode-backend-linux-x64-musl,0.3.22,146027993,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
squidclaw,2026.4.29,191368878,22578,22564,0,82,0,82,1,0,0,0,0,0,82,0,
innoq-styleguide,16.0.15,161343401,2124,2107,0,21,0,21,1,0,0,0,0,0,21,0,
@ng-atomic/schematics,19.51.0,286464002,54,54,0,0,0,0,0,0,0,0,0,0,0,0,
nipurn-xprompt-new-windows-x64-baseline,0.0.1,196995359,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@sencha/eslint-plugin-extjs,8.0.0,518419813,231,231,0,10,0,10,1,0,0,0,0,0,10,0,
@bonfhir/codegen,2.4.2,181264090,6539,6539,0,31,0,31,1,0,0,0,0,0,31,0,
@debugmcp/mcp-debugger,0.20.0,170068718,1029,1015,0,8,0,8,1,0,0,0,0,0,8,0,
@pspdfkit/nodejs,0.0.7,143485978,343,343,0,0,0,0,0,0,0,0,0,0,0,0,
@octokit/openapi,22.0.0,568645825,21,21,0,9,0,9,1,0,0,0,0,0,9,0,
conintervu,10.3.180,246813115,4015,3997,0,99,0,99,1,0,0,0,0,0,99,0,
azure-devops-work-items-mac,1.0.14,119066751,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@oh-labs/oh-omp-linux-x64,0.9.0,495008295,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@zigc/linux-arm64,0.16.0,159030040,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
numasec-windows-x64-baseline,1.2.1,139433026,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-adyen-cse,1.0.7,365121265,5274,5273,0,1,0,1,1,0,0,0,0,0,1,0,
geoip-lite-updated,1.4.4,166957733,17,17,0,9,0,9,1,0,0,0,0,0,9,0,
@socialgouv/legi-data,2.526.0,162163266,34,33,0,24,0,24,1,0,0,0,0,0,24,0,
@qlik/react-native-helium,3.0.1,501422169,969,969,0,17,0,17,1,0,0,0,0,0,17,0,
ideavo-code-linux-x64,1.3.1-7.5,154756153,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@zigc/win32-x64,0.16.0,177110680,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
innertest,4.20.0,266289660,1106,1106,0,12,0,12,1,0,0,0,0,0,12,0,
@newtype-os/cli-windows-x64,0.0.71,163985527,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@codex-infinity/codex-infinity,1.3.40,298985369,8,8,0,0,0,0,0,0,0,0,0,0,0,0,
dotcli-demo,1.2.0,378246603,6,6,0,0,0,0,0,0,0,0,0,0,0,0,
@ironsoftware/ironpdf-engine-linux-x64,2026.5.1,343741074,87,87,0,1,0,1,1,0,0,0,0,0,1,0,
aciano-cdn,2.0.19,156424107,1047,1046,0,0,0,0,0,0,0,0,0,0,0,0,
@tmedanovic/genie-cli,2.2.53,270025370,117,117,0,59,0,59,1,0,0,0,0,0,59,0,
@42ailab/42plugin-win32-x64,0.4.19,116117280,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-ai-nofc-linux-x64,1.14.50,150399415,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
matrix-engine,2.3.68,253912931,1124,1119,0,11,0,11,1,0,0,0,0,0,11,0,
cactus-react-native,1.13.1,152445372,223,223,0,25,1,24,1,0,1,0,0.0002,0.0001,25,0,
@wix/bex-utils,2.100.0,145087804,2291,2291,0,36,0,36,1,0,0,0,0,0,36,0,
@agent-orcha/node-omni-orcha-linux-x64-cuda,2026.417.552,182294482,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
consortium-code-linux-x64,0.2.0-canary.20260417210700,168021153,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@ironsoftware/ironpdf-engine-macos-arm64,2026.5.1,350300970,93,93,0,1,0,1,1,0,0,0,0,0,1,0,
access-nyc-patterns,0.8.0,144347903,832,827,0,10,0,10,1,0,0,0,0,0,10,0,
@riverbankcms/sdk,0.62.2,75746102,1560,1559,0,31,1,30,1,0,1,0,0.0002,0.0001,31,0,
@elestio/cloudgate,1.0.125,152501629,127,127,0,27,0,27,1,0,0,0,0,0,27,0,
mstream,6.8.1,193538257,460,460,0,24,0,24,1,0,0,0,0,0,24,0,
@shadanai/openclaw,2026.5.15-1,256705630,21000,20996,0,67,0,67,1,0,0,0,0,0,67,0,
opencode-ai-nofc-windows-x64,1.14.50,159771769,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@fathyb/carbonyl-linux-amd64,0.0.2-next.bacf3db,174161173,15,13,0,0,0,0,0,0,0,0,0,0,0,0,
nume_homolog,1.4.48,139726414,6,6,0,2,0,2,1,0,0,0,0,0,2,0,
ideavo-code-linux-x64-musl,1.3.1-7.5,147272882,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-darwin-x64,0.0.71,114494135,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
misans-webfont,4.3.1,117502767,4222,4222,0,0,0,0,0,0,0,0,0,0,0,0,
@vtex/checkout-ui-core,0.29.0,79633991,283,283,0,0,0,0,0,0,0,0,0,0,0,0,
@traces-sh/traces-windows-x64,0.5.8,129639605,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
denchclaw,3.1.2,173532881,11625,11624,0,15,0,15,1,0,0,0,0,0,15,0,
rari-linux-arm64,0.13.6,117184151,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
ideavo-code-linux-x64-baseline-musl,1.3.1-7.5,146797755,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-darwin-x64-baseline,0.0.71,114494144,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
happy-next-cli,0.3.5,261967589,69,69,0,45,0,45,1,0,0,0,0,0,45,0,
govuk-chakra,0.0.24,197688642,622,622,0,64,0,64,1,0,0,0,0,0,64,0,
com.shanghaiwindy.middlelayer,1.0.84,242235714,1689,1688,0,5,0,5,1,0,0,0,0,0,5,0,
@vultisig/mpc-native,0.1.4,490233882,71,71,0,3,0,3,1,0,0,0,0,0,3,0,
@ravenhouse/omni-sdk,0.1.61,156800285,57,57,0,29,1,28,1,0,1,0,0.0002,0.0001,29,0,
@react-pakistan/react-design-collection,1.2.14,184084480,484,482,0,49,1,48,1,0,1,0,0.0002,0.0001,49,0,
hamlib,0.7.1,209429501,44,44,0,6,0,6,1,0,0,0,0,0,6,0,
@zigc/darwin-x64,0.16.0,195512437,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-linux-x64-baseline,0.0.71,158266115,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@team-monolith/pxt-core,0.7.2,144940768,1135,1131,0,83,1,82,1,0,1,0,0.0002,0.0001,83,0,
@newtype-os/cli-linux-x64-baseline-musl,0.0.71,153436872,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
sale-client-chengran,1.10.33-chengran,123251663,673,672,0,75,0,75,1,0,0,0,0,0,75,0,
@cyclonedx/cdxgen-plugins-bin-windows-arm64,1.8.0,309033094,9,8,0,0,0,0,0,0,0,0,0,0,0,0,
@costrict/cs-darwin-x64-baseline,3.0.35,139791037,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
reason-cli,3.3.3-macos-1,119724428,37,37,0,0,0,0,0,0,0,0,0,0,0,0,
@cascade-flow/cli,0.2.28,358882124,7,7,0,8,0,8,1,0,0,0,0,0,8,0,
@newtype-os/cli-windows-x64-baseline,0.0.71,163312256,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@pizzapi/cli-linux-x64,0.5.23,117648921,31,31,0,0,0,0,0,0,0,0,0,0,0,0,
@embedder/embedder-windows-arm64,0.3.110,143399736,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@toolbox-sdk/server-darwin-x64,1.2.0,150429039,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
flex-design,1.9.9,336338430,5260,5196,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-linux-x64-musl,0.0.71,153973439,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-document-reader-core-fullrfid-beta,5.1.10,214479543,29,28,0,0,0,0,0,0,0,0,0,0,0,0,
@chainsafe/eth2-spec-tests,0.12.3,5963579668,53581,40190,0,0,0,0,0,0,0,0,0,0,0,0,
@amcharts/amcharts4-ember,4.10.40,179494964,1821,1821,0,24,0,24,1,0,0,0,0,0,24,0,
echarts-china-counties-js,1.0.2,233787827,6585,6585,0,9,1,8,1,0,1,0,0.0002,0.0001,9,0,
@agent-facets/cli-windows-x64-baseline,0.12.0,120102019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-linux-arm64,0.0.71,157830612,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
blondie-platform-web,0.0.93,345622842,1684,1682,0,66,1,65,1,0,1,0,0.0002,0.0001,66,0,
@oh-labs/oh-omp-darwin-arm64,0.9.0,274734448,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@ohif/app,3.12.2,207682585,239,238,0,71,0,71,1,0,0,0,0,0,71,0,
@cyclonedx/cdxgen-plugins-bin-linuxmusl-arm64,1.8.0,136318385,7,6,0,0,0,0,0,0,0,0,0,0,0,0,
com.hecomi.ulipsync,3.1.5,279420621,1588,1588,0,2,0,2,1,0,0,0,0,0,2,0,
@uniswap/ethers-rs-mobile,0.0.5,183314540,11,11,0,0,0,0,0,0,0,0,0,0,0,0,
@newtype-os/cli-linux-x64,0.0.71,159109882,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
eve-online-sde,126.6.18,690651330,9772,9772,0,5,0,5,1,0,0,0,0,0,5,0,
awesome-omni-skills,0.12.9,567314682,32973,32949,0,19,0,19,1,0,0,0,0,0,19,0,
@sezzle/sezzle-static-widget,3.2.5,632372,12,12,0,20,0,20,1,0,0,0,0,0,20,0,
