package,version,size_bytes,fan_in_total,fan_out,global_instability,coupling_volume,dependency_balance
googleapis,171.4.0,199646715,3545,42,0.0117,3587,3503
next,16.2.6,154840819,71112,227,0.0032,71339,70885
@next/swc-linux-arm64-gnu,16.2.6,124941258,6,0,0.0,6,6
@cloudflare/workerd-linux-64,1.20260519.1,125105997,2,0,0.0,2,2
@next/swc-linux-x64-gnu,16.2.6,130265551,6,0,0.0,6,6
@next/swc-linux-arm64-musl,16.2.6,125218383,6,0,0.0,6,6
@next/swc-linux-x64-musl,16.2.6,130191545,6,0,0.0,6,6
@next/swc-darwin-arm64,16.2.6,121740836,7,0,0.0,7,7
onnxruntime-web,1.26.0,134332969,354,35,0.09,389,319
@next/swc-win32-x64-msvc,16.2.6,136819205,6,0,0.0,6,6
@next/swc-darwin-x64,16.2.6,119737475,6,0,0.0,6,6
app-builder-bin,4.2.0,198438278,32,0,0.0,32,32
@pnpm/linux-x64,11.1.3,146740068,1,1,0.5,2,0
@temporalio/core-bridge,1.16.2,131359441,4,5,0.5556,9,-1
opencode-linux-x64-baseline-musl,1.15.5,140626359,0,0,0.0,0,0
opencode-linux-x64-musl,1.15.5,140626350,0,0,0.0,0,0
@bufbuild/buf-linux-x64,1.69.0,125268882,0,0,0.0,0,0
@zed-industries/codex-acp-linux-x64,0.14.0,221255489,0,0,0.0,0,0
opencode-linux-x64-baseline,1.15.5,143833362,0,0,0.0,0,0
opencode-linux-x64,1.15.5,143833353,1,0,0.0,1,1
@google-cloud/compute,6.11.0,175338033,70,18,0.2045,88,52
@anthropic-ai/claude-code-linux-x64,2.1.144,233404698,0,0,0.0,0,0
dashjs,5.1.1,129997301,147,58,0.2829,205,89
onnxruntime-node,1.26.0,266245395,302,9,0.0289,311,293
@fluentui/react-icons,2.0.326,121897571,222,17,0.0711,239,205
@lancedb/lancedb-linux-x64-gnu,0.29.0,143086498,0,0,0.0,0,0
@cloudflare/workerd-linux-arm64,1.20260519.1,129264762,2,0,0.0,2,2
@formatjs/intl-datetimeformat,7.4.5,174785778,58,4,0.0645,62,54
react-grab,0.1.37,39307992,35,16,0.3137,51,19
@anthropic-ai/claude-code-darwin-arm64,2.1.144,207919585,0,0,0.0,0,0
flow-bin,0.314.0,191162170,12099,0,0.0,12099,12099
@tensorflow/tfjs,4.22.0,147474474,787,45,0.0541,832,742
@github/copilot-linux-x64,1.0.49,160504600,0,0,0.0,0,0
@github/copilot,1.0.49,274876693,19,0,0.0,19,19
@anthropic-ai/claude-code-win32-x64,2.1.144,229303002,0,0,0.0,0,0
opencode-windows-x64,1.15.5,141508115,1,0,0.0,1,1
opencode-windows-x64-baseline,1.15.5,141508124,0,0,0.0,0,0
@lancedb/lancedb-win32-x64-msvc,0.29.0,152295903,0,0,0.0,0,0
@duckdb/duckdb-wasm,1.33.1-dev45.0,148772902,108,33,0.234,141,75
@node-llama-cpp/linux-x64-cuda,3.18.1,159456082,0,0,0.0,0,0
@anthropic-ai/claude-code-linux-x64-musl,2.1.144,227798664,0,0,0.0,0,0
@bufbuild/buf-linux-aarch64,1.69.0,118490012,0,0,0.0,0,0
node-linux-x64,22.22.3,184802990,1,0,0.0,1,1
@iconify/json,2.2.475,416601966,766,10,0.0129,776,756
@cdktf/node-pty-prebuilt-multiarch,0.10.2,167709910,4,17,0.8095,21,-13
@next/swc-freebsd-x64,13.2.4,148496193,3,0,0.0,3,3
@pdftron/webviewer,11.12.0,185609272,26,0,0.0,26,26
@oven/bun-windows-x64,1.3.14,98480706,1,0,0.0,1,1
@cdktf/provider-aws,21.22.1,392167704,65,17,0.2073,82,48
@oven/bun-windows-x64-baseline,1.3.14,97757914,0,0,0.0,0,0
ffprobe-static,3.1.0,351499535,167,1,0.006,168,166
@node-llama-cpp/linux-x64-cuda-ext,3.18.1,464738270,0,0,0.0,0,0
@highcharts/map-collection,2.3.2,130757599,15,0,0.0,15,15
@lancedb/lancedb-linux-x64-musl,0.29.0,125189605,0,0,0.0,0,0
@evilmartians/lefthook,2.1.6,131635039,5648,0,0.0,5648,5648
@github/copilot-language-server,1.489.0,192953871,5,1,0.1667,6,4
@lancedb/lancedb-linux-arm64-gnu,0.29.0,131551813,0,0,0.0,0,0
@progress/kendo-angular-intl,23.4.0,188335297,299,3,0.0099,302,296
@ibm/plex,6.4.1,186600620,46,27,0.3699,73,19
@eth-optimism/contracts-bedrock,0.17.3,128506541,24,4,0.1429,28,20
@aws-amplify/graphql-api-construct,1.21.3,143878005,5,154,0.9686,159,-149
react-native-skia-android,147.1.0,228467070,2,0,0.0,2,2
react-native-skia-apple-ios,147.1.0,214452582,2,0,0.0,2,2
@trufflesuite/uws-js-unofficial,20.30.0-unofficial.0,117587139,19,5,0.2083,24,14
react-native-skia-apple-tvos,147.1.0,214457708,2,0,0.0,2,2
@aws-amplify/data-construct,1.17.3,142149976,1,153,0.9935,154,-152
@bufbuild/buf-darwin-arm64,1.69.0,122897979,0,0,0.0,0,0
@zed-industries/codex-acp-win32-x64,0.14.0,176678205,0,0,0.0,0,0
@zed-industries/codex-acp-linux-arm64,0.14.0,208478033,0,0,0.0,0,0
datamaps,0.5.10,137455952,32,12,0.2727,44,20
@anthropic-ai/claude-code-linux-arm64,2.1.144,233289946,0,0,0.0,0,0
git-cz,4.9.0,152702114,2221,30,0.0133,2251,2191
@bufbuild/buf-win32-x64,1.69.0,128691628,0,0,0.0,0,0
opencode-linux-arm64,1.15.5,143894813,1,0,0.0,1,1
@kilocode/cli-linux-x64-baseline-musl,7.3.0,175586981,0,0,0.0,0,0
@zed-industries/codex-acp-darwin-arm64,0.14.0,179964765,1,0,0.0,1,1
devicon,2.17.0,134906102,12,9,0.4286,21,3
@kilocode/cli-linux-x64,7.3.0,180735575,0,0,0.0,0,0
opencode-linux-arm64-musl,1.15.5,139505674,0,0,0.0,0,0
@node-llama-cpp/win-x64-cuda,3.18.1,145263883,0,0,0.0,0,0
@kilocode/cli-linux-x64-musl,7.3.0,175586972,0,0,0.0,0,0
@bufbuild/buf-darwin-x64,1.69.0,128922783,0,0,0.0,0,0
@bufbuild/buf-win32-arm64,1.69.0,120120754,0,0,0.0,0,0
@kilocode/cli-linux-x64-baseline,7.3.0,180735584,0,0,0.0,0,0
n8n-editor-ui,2.16.2,162870420,14,0,0.0,14,14
fast-geoip,1.1.88,164338251,11,2,0.1538,13,9
@lancedb/lancedb-win32-arm64-msvc,0.29.0,128228330,0,0,0.0,0,0
@concordium/web-sdk,12.0.2,131501305,9,43,0.8269,52,-34
@cdktf/provider-datadog,12.15.2,143989886,1,17,0.9444,18,-16
@adguard/dnr-rulesets,4.1.20260519060101,249456295,0,39,1.0,39,-39
@progress/kendo-ui,2026.1.415,197164419,53,22,0.2933,75,31
@node-llama-cpp/win-x64-cuda-ext,3.18.1,461574845,0,0,0.0,0,0
@cdxgen/cdxgen-plugins-bin-linux-amd64,2.1.1,121718805,0,0,0.0,0,0
minecraft-data,3.110.2,389364825,126,7,0.0526,133,119
polyfill-library,4.8.0,134193924,27,68,0.7158,95,-41
pspdfkit,2024.8.2,202856332,5,1,0.1667,6,4
@github/copilot-darwin-arm64,1.0.50,156422573,0,0,0.0,0,0
@op-engineering/op-sqlite,16.0.0,362599968,50,11,0.1803,61,39
@prisma/sdk,4.0.0,122113367,242,60,0.1987,302,182
@cdktf/provider-google,16.12.1,309341454,32,17,0.3469,49,15
@syncfusion/ej2,33.2.7,275640245,23,51,0.6892,74,-28
oh-my-opencode-windows-x64,4.2.2,106758066,1,0,0.0,1,1
@nutrient-sdk/viewer,1.15.0,148346434,0,1,1.0,1,-1
distilled-aws,0.1.1,193344804,2,20,0.9091,22,-18
@amcharts/amcharts5-geodata,5.1.5,350910498,6,1,0.1429,7,5
oh-my-opencode-windows-x64-baseline,4.2.2,106035149,1,0,0.0,1,1
@cdktf/provider-kubernetes,12.1.1,149843765,8,17,0.68,25,-9
@azure/mcp-linux-x64,3.0.0-beta.10,146259937,1,0,0.0,1,1
oh-my-openagent-linux-x64,4.2.2,110516788,0,0,0.0,0,0
unicode-9.0.0,0.7.5,143194754,30,0,0.0,30,30
@neo4j-cypher/language-support,2.0.0-next.6,129365603,5,7,0.5833,12,-2
opencode-windows-arm64,1.15.5,138176535,0,0,0.0,0,0
realm,20.2.0,678086505,151,21,0.1221,172,130
oh-my-openagent-windows-x64,4.2.2,106758047,0,0,0.0,0,0
oh-my-openagent-windows-x64-baseline,4.2.2,106035121,0,0,0.0,0,0
@asyncapi/studio,1.3.0,198516827,3,82,0.9647,85,-79
@anthropic-ai/claude-code-darwin-x64,2.1.144,210433737,0,0,0.0,0,0
cldr,8.0.0,290774152,39,26,0.4,65,13
@pnpm/linux-arm64,11.1.3,146776873,1,1,0.5,2,0
google-closure-compiler-osx,20240317.0.0,259611568,3,0,0.0,3,3
@gitlab/web-ide,0.0.1-dev-20260106142046,124688758,0,1,1.0,1,-1
oh-my-opencode-linux-x64,4.2.2,110516785,1,0,0.0,1,1
@shabados/database,5.0.0-next.0,152059067,0,13,1.0,13,-13
@tabler/icons-webfont,3.44.0,125664261,11,13,0.5417,24,-2
azure,2.3.1-preview,249497832,110,118,0.5175,228,-8
@deno/linux-x64-glibc,2.7.14,124243477,0,0,0.0,0,0
@aztec/bb.js,4.2.1,154576931,85,24,0.2202,109,61
@amcharts/amcharts4-geodata,4.1.31,332620975,16,0,0.0,16,16
@cdktf/provider-azurerm,14.23.1,268798096,12,17,0.5862,29,-5
@imgly/background-removal-node,1.4.5,132708405,24,21,0.4667,45,3
gsd-pi,3.0.0,195386334,1,38,0.9744,39,-37
@bitgo-forks/cryptocurrency-icons,0.102.0,139394045,0,15,1.0,15,-15
@github/copilot-linux-arm64,1.0.50,159783652,0,0,0.0,0,0
botframework-webchat,4.18.2,161606178,28,50,0.641,78,-22
@lenml/tokenizer-gemma3,3.7.2,253630696,0,6,1.0,6,-6
liquibase,4.28.1,132510777,8,15,0.6522,23,-7
@cyclonedx/cdxgen-plugins-bin-linux-amd64,1.8.0,190784684,0,0,0.0,0,0
@restatedev/restate-server-linux-x64,1.6.2,199460667,0,0,0.0,0,0
permitio,2.7.5,211956246,5,39,0.8864,44,-34
@restatedev/restate-linux-x64,1.6.2,200004436,0,0,0.0,0,0
dwt,19.3.3,127706428,14,1,0.0667,15,13
@buildonspark/spark-sdk,0.8.1,189856144,18,43,0.7049,61,-25
@atlaspack/rust,3.29.2,250431477,19,2,0.0952,21,17
serverless-offline-aws-eventbridge,2.2.4,172721826,1,27,0.9643,28,-26
@wppconnect/wa-version,1.5.3966,159043788,19,25,0.5682,44,-6
@xmtp/node-bindings,1.10.0,233939419,2,15,0.8824,17,-13
@livestore/common-cf,0.0.0-snapshot-8452e32b7fbfc129741b253b9c853f866b52129f,221704776,1,6,0.8571,7,-5
jqwidgets-framework,25.1.0,150968111,6,0,0.0,6,6
aerospike,6.7.0,237879142,32,31,0.4921,63,1
openapi-directory,1.3.17,426460311,2,19,0.9048,21,-17
gdal-async,3.12.3,215562159,19,38,0.6667,57,-19
@qingchencloud/openclaw-zh,2026.5.12-zh.2,79241108,0,80,1.0,80,-80
@pnpm/macos-arm64,11.1.3,142248236,1,1,0.5,2,0
electron-apps,1.9312.0,117381404,3,41,0.9318,44,-38
@aztec/l1-artifacts,4.2.1,130109480,22,5,0.1852,27,17
choerodon-ui,1.6.7,211059312,24,220,0.9016,244,-196
rocksdb-native,3.15.1,183823494,11,20,0.6452,31,-9
@mchp-mcc/pic-16bit,5.16.0,701308794,74,22,0.2292,96,52
omniroute,3.7.9,147912794,0,75,1.0,75,-75
@elasticprojects/abstract-cli,13.4.5,131498434,2,3,0.6,5,-1
@codemod.com/cli-linux-x64-gnu,1.10.5,144697027,0,0,0.0,0,0
@central-icons-react/all,1.1.238,444491470,0,5,1.0,5,-5
@embedded-postgres/darwin-arm64,18.3.0-beta.17,148010398,2,2,0.5,4,0
nw-gyp,3.6.8,166363614,21,17,0.4474,38,4
@matbee/libreoffice-converter,2.6.0,253723228,2,17,0.8947,19,-15
react-fluentui-emoji,1.3.0,119691343,1,0,0.0,1,1
iso3166-2-db,2.3.11,177295821,14,10,0.4167,24,4
@antimatterhq/antimatter,2.0.5,394684535,0,8,1.0,8,-8
@factory/cli-linux-x64,0.129.0,150133871,0,0,0.0,0,0
@gitbook/fontawesome-pro,1.0.23,251888910,1,1,0.5,2,0
doc999tor-fast-geoip,1.1.433,167184804,2,2,0.5,4,0
@factory/cli-linux-x64-baseline,0.129.0,149216486,0,0,0.0,0,0
@github/copilot-darwin-x64,1.0.50,160894433,0,0,0.0,0,0
gm-kilo,1.0.1,2713,0,0,0.0,0,0
unicode-5.2.0,0.7.5,119380439,5,0,0.0,5,5
stockfish,18.0.7,251051807,21,0,0.0,21,21
node-bin-darwin-arm64,22.22.3,172899556,1,0,0.0,1,1
@zed-industries/codex-acp-darwin-x64,0.14.0,190067621,0,0,0.0,0,0
@microsoft/workiq,0.4.1,188097926,1,0,0.0,1,1
react-native-signature-capture,0.4.12,220600982,24,3,0.1111,27,21
gm-codex,2.0.1080,360924,0,0,0.0,0,0
prismarine-viewer,1.33.0,269284936,26,31,0.5439,57,-5
@kilocode/cli-windows-x64,7.3.0,193125145,0,0,0.0,0,0
@kilocode/cli-windows-x64-baseline,7.3.0,193125154,0,0,0.0,0,0
@rivetkit/engine-cli-darwin-x64,2.2.1-pr.4600.252b48e,300239074,0,0,0.0,0,0
gm-cc,1.0.1,3445,1,0,0.0,1,1
gm-qwen,2.0.1080,342690,0,0,0.0,0,0
@expo/swiftlint,0.57.1,133938236,0,1,1.0,1,-1
@syncfusion/ej2-cldr-data,33.2.3,168375953,0,0,0.0,0,0
code-server,4.117.0,146866770,3,19,0.8636,22,-16
@rivetkit/engine-cli-darwin-arm64,2.2.1-pr.4600.252b48e,306686042,0,0,0.0,0,0
go-ios,1.0.213,120853425,1,1,0.5,2,0
@rivetkit/engine-cli-linux-x64-musl,2.2.1-pr.4600.252b48e,509511555,0,0,0.0,0,0
@mchp-mcc/pic-8bit,5.31.0,288729154,162,22,0.1196,184,140
kuzu,0.11.3,524662769,21,5,0.1923,26,16
unicode-8.0.0,0.7.5,141553952,22,0,0.0,22,22
@rivetkit/engine-cli-linux-arm64-musl,2.2.1-pr.4600.252b48e,503800377,0,0,0.0,0,0
libav.js,6.8.8,167590555,5,2,0.2857,7,3
@anthropic-ai/claude-code-linux-arm64-musl,2.1.144,226144696,0,0,0.0,0,0
dirac-cli,0.3.44,117456201,0,26,1.0,26,-26
@faststore/core,4.1.1,2168876,6,72,0.9231,78,-66
node-darwin-x64,22.22.3,175426105,1,0,0.0,1,1
prismarine-web-client,1.6.0,252947496,0,38,1.0,38,-38
cycletls,2.0.5,129883647,28,15,0.3488,43,13
iobroker.lovelace,5.0.5,183759068,0,23,1.0,23,-23
@cdktf/provider-google-beta,16.12.1,332532083,2,17,0.8947,19,-15
teradatasql,20.0.58,421037917,2,1,0.3333,3,1
@anthropic-ai/claude-code-win32-arm64,2.1.144,225267426,0,0,0.0,0,0
@turbo/gen-windows-64,2.8.16,119969074,0,0,0.0,0,0
@material-symbols-svg/react-rounded,0.1.22,139608979,1,18,0.9474,19,-17
@carbon/icons-angular,11.2.2,142019911,10,13,0.5652,23,-3
@layerzerolabs/lz-evm-sdk-v2,3.1.2,216847367,7,9,0.5625,16,-2
@bentley/imodeljs-win32-x64,5.10.21,121561650,0,0,0.0,0,0
bs-platform,9.0.2,142193998,1357,2,0.0015,1359,1355
jqwidgets-scripts-custom,7.1.0,118770882,0,0,0.0,0,0
ctt-babylon,0.22.71,125698162,0,1,1.0,1,-1
@dcl/explorer,1.0.165087-20250127124647.commit-c5c4235,255231478,4,0,0.0,4,4
@snyk/vervet,8.23.1,168928746,0,0,0.0,0,0
happy,1.1.8,238421232,1,50,0.9804,51,-49
coveo-search-ui,2.10125.2,228646794,69,93,0.5741,162,-24
zh-stroke-data,0.0.75,434237318,0,6,1.0,6,-6
node-linux-arm64,22.22.3,182080918,1,0,0.0,1,1
@oh-my-pi/pi-natives,15.1.5,933900666,5,2,0.2857,7,3
@sigmashake/ssg-win32-x64,0.29.90,253046599,0,0,0.0,0,0
@ip-location-db/geolite2-city,2.3.2026051619,117742082,0,0,0.0,0,0
emoji-assets,9.0.0,161194974,3,0,0.0,3,3
j-gallery,1.2.2,199416333,0,8,1.0,8,-8
groove-dev,0.27.164,143129851,0,4,1.0,4,-4
china-division,2.7.0,190712212,35,15,0.3,50,20
@inkeep/agents-manage-ui,0.73.5,144307924,0,112,1.0,112,-112
nswag-portable,13.20.0-v.17,385710063,2,3,0.6,5,-1
genshin-db,5.2.10,173889008,2,7,0.7778,9,-5
@bentley/imodeljs-linux-x64,5.10.21,161328609,0,0,0.0,0,0
@vscode/openssl-prebuilt,0.0.11,250315399,0,0,0.0,0,0
@kilocode/cli-darwin-arm64,7.3.0,139000383,0,0,0.0,0,0
ax-code-linux-x64,2.26.4,137448999,0,0,0.0,0,0
@signalapp/libsignal-client,0.94.1,134626644,6,37,0.8605,43,-31
@cubic-dev-ai/cli-linux-x64,1.6.0,147545609,0,0,0.0,0,0
@cubic-dev-ai/cli-linux-x64-baseline,1.6.0,147545618,0,0,0.0,0,0
@cubic-dev-ai/cli-linux-x64-baseline-musl,1.6.0,140209511,0,0,0.0,0,0
@eusoumarlon/wa-version,1.4.2510,691023225,0,24,1.0,24,-24
@dcl/builder-site,8.13.0,212287255,0,0,0.0,0,0
@layerzerolabs/lz-evm-sdk-v1,3.1.2,512483319,6,9,0.6,15,-3
@cubic-dev-ai/cli-linux-x64-musl,1.6.0,140209502,0,0,0.0,0,0
react-native-filament,1.9.0,487932802,0,14,1.0,14,-14
mux,0.24.0,123571415,0,184,1.0,184,-184
funcunit,3.7.0,117210095,29,22,0.4314,51,7
ax-code-windows-x64,2.26.4,149745897,0,0,0.0,0,0
claudio-cli-win-x64,1.0.43,112066367,0,0,0.0,0,0
decocms,2.331.1,138000188,1,124,0.992,125,-123
@f5xc-salesdemos/pi-natives-linux-x64-gnu,18.70.0,209323322,0,0,0.0,0,0
@omega-edit/server,2.0.0,117783708,1,0,0.0,1,1
unicode-12.1.0,0.8.0,145544249,10,0,0.0,10,10
@pepperize/cdk-organizations,0.7.988,120338494,0,35,1.0,35,-35
ax-code-linux-x64-baseline-musl,2.26.4,131460725,0,0,0.0,0,0
ax-code-linux-x64-musl,2.26.4,132001388,0,0,0.0,0,0
ligolang,0.69.0-macos-intel.d63c34412535fadfd98859dd8dad630fe08e90c2,172771057,0,0,0.0,0,0
ax-code-linux-x64-baseline,2.26.4,136580656,0,0,0.0,0,0
react-native-barcode-builder,2.0.0,242759539,5,8,0.6154,13,-3
@kmmao/happy-coder,0.83.0,240570024,0,49,1.0,49,-49
@cyclonedx/cdxgen-plugins-bin-linuxmusl-amd64,1.8.0,133306409,0,0,0.0,0,0
ax-code-linux-arm64-musl,2.26.4,131468912,0,0,0.0,0,0
goldpankit,3.2.3,338831348,0,16,1.0,16,-16
pokeapi-sprites,2.0.4,186183726,1,0,0.0,1,1
cna-template,5.0.0,338666479,2,0,0.0,2,2
@nativescript/android,9.0.4,116018628,26,3,0.1034,29,23
tdesign-web-components,1.2.10,123318174,3,80,0.9639,83,-77
@f5xc-salesdemos/pi-natives,18.70.0,823629504,3,2,0.4,5,1
ax-code-linux-arm64,2.26.4,136973867,0,0,0.0,0,0
@agenshield/cli-darwin-arm64,0.10.0,178839126,0,0,0.0,0,0
@onomy/jsi-rn-wallet-core,0.1.0,138871144,1,19,0.95,20,-18
@nativescript/types-android,9.0.0,141500240,2,0,0.0,2,2
@f5xc-salesdemos/pi-natives-win32-x64-msvc,18.70.0,203528757,0,0,0.0,0,0
unicode-10.0.0,0.7.5,145193079,30,0,0.0,30,30
ax-code-windows-arm64,2.26.4,146570477,0,0,0.0,0,0
bymorning-ai-windows-x64-baseline,0.0.77,301413503,0,0,0.0,0,0
@vladmandic/human-models,3.0.4,173020200,5,7,0.5833,12,-2
@toolbox-sdk/server-darwin-arm64,1.2.0,142708640,0,0,0.0,0,0
@lightdash/sdk,0.2974.0,223325621,0,0,0.0,0,0
@dynatrace/oneagent-dependency,1.327.51,130811474,1,10,0.9091,11,-9
cdk-amazon-chime-resources,3.2.25,124606473,0,30,1.0,30,-30
conductor-oss,0.60.20,122218848,0,40,1.0,40,-40
@syncfusion/blazor-themes,33.2.6,738717017,0,0,0.0,0,0
react-native-user-identity,1.5.2,120662380,0,0,0.0,0,0
geojson-places,1.0.8,287089803,1,9,0.9,10,-8
@f5xc-salesdemos/pi-natives-darwin-x64,18.70.0,205364019,0,0,0.0,0,0
@nativescript/ios,9.0.3,220020364,21,5,0.1923,26,16
hopcoderx-linux-x64,1.1.30,146763265,0,0,0.0,0,0
@movable/fluid,2.3.1,139013119,0,107,1.0,107,-107
geoip-lite2,4.0.1-alpha.1,220100982,0,6,1.0,6,-6
rescript-relay,4.4.1,172794186,0,19,1.0,19,-19
happy-coder,1.1.9,238500052,0,50,1.0,50,-50
@bsport/common,4.0.20,206117700,0,31,1.0,31,-31
@nutrient-sdk/node,1.3.0,142914673,0,0,0.0,0,0
hopcoderx-linux-x64-musl,1.1.30,139251322,0,0,0.0,0,0
agent-mockingbird,0.0.16,179183933,0,13,1.0,13,-13
hopcoderx-linux-x64-baseline-musl,1.1.30,139251331,0,0,0.0,0,0
@embedded-postgres/darwin-x64,18.3.0-beta.17,148010378,2,2,0.5,4,0
@digabi/exam-engine-exams,23.23.0,171557219,0,1,1.0,1,-1
@chrryai/waffles,2.5.1,138761516,0,27,1.0,27,-27
hopcoderx-linux-x64-baseline,1.1.30,146763274,0,0,0.0,0,0
@kong/spec-renderer,1.107.16,123438290,2,70,0.9722,72,-68
react-native-wgpu,0.5.11,170584278,4,38,0.9048,42,-34
slopcode-bin-linux-arm64-musl,0.2.115,273106213,0,0,0.0,0,0
bymorning-ai-linux-x64-musl,0.0.77,262726427,0,0,0.0,0,0
bare-ffmpeg,1.2.2,418211703,4,7,0.6364,11,-3
hopcoderx-windows-x64-baseline,1.1.30,155101818,0,0,0.0,0,0
hopcoderx-windows-x64,1.1.30,155101809,0,0,0.0,0,0
@realtimex/node-llama-cpp-linux-x64-cuda,0.142.0,172670668,0,0,0.0,0,0
bymorning-ai-linux-x64-baseline,0.0.77,272708679,0,0,0.0,0,0
bymorning-ai-linux-x64-baseline-musl,0.0.77,262734628,0,0,0.0,0,0
hopcoderx-linux-arm64-musl,1.1.30,137904186,0,0,0.0,0,0
bymorning-ai-linux-x64,0.0.77,272708670,0,0,0.0,0,0
@sencha/cmd-linux-64,8.0.0,236750085,0,1,1.0,1,-1
@material-symbols-svg/react,0.6.0,325995345,3,15,0.8333,18,-12
unframer,4.1.7,196074909,0,46,1.0,46,-46
bymorning-ai-darwin-arm64,0.0.77,193820425,0,0,0.0,0,0
bymorning-ai-windows-x64,0.0.77,301413494,0,0,0.0,0,0
@realtimex/node-llama-cpp-win-x64-cuda,0.142.0,160111051,0,0,0.0,0,0
effect-solutions,0.5.3,326080928,1,8,0.8889,9,-7
bymorning-ai-darwin-x64-baseline,0.0.77,203713548,0,0,0.0,0,0
@finbourne/lusid-sdk-angular18,0.11.9160,176230804,0,1,1.0,1,-1
hopcoderx-linux-arm64,1.1.30,144725065,0,0,0.0,0,0
smart-webcomponents-angular,26.0.0,131300869,1,13,0.9286,14,-12
bymorning-ai-linux-arm64,0.0.77,273353946,0,0,0.0,0,0
bymorning-ai-linux-arm64-musl,0.0.77,261949703,0,0,0.0,0,0
bymorning-ai-darwin-x64,0.0.77,203713539,0,0,0.0,0,0
britecharts,2.18.2,263372540,5,66,0.9296,71,-61
@kolbo/kolbo-code-linux-x64,2.1.25,161194228,0,0,0.0,0,0
@roninbuilders/contracts,0.6.24,145305740,2,8,0.8,10,-6
slopcode-bin-linux-x64-baseline-musl,0.2.115,273621208,0,0,0.0,0,0
slopcode-bin-linux-x64-musl,0.2.115,274096335,0,0,0.0,0,0
slopcode-bin-linux-x64,0.2.115,292997700,0,0,0.0,0,0
@microsoft/sp-webpart-workbench,1.12.1,132246851,77,30,0.2804,107,47
@htmlbricks/hb-player-input-streaming,0.76.5,194751445,0,0,0.0,0,0
slopcode-bin-linux-x64-baseline,0.2.115,292624973,0,0,0.0,0,0
ffmpeg-static-electron,2.0.3,234333138,6,1,0.1429,7,5
@qvac/onnx,0.15.0,215829477,3,3,0.5,6,0
@dittolive/ditto,5.0.0,377450475,4,0,0.0,4,4
@htmlbricks/hb-player-live,0.76.5,197236324,1,0,0.0,1,1
aspose.cells.node.linux.x64,26.5.0,125710438,0,0,0.0,0,0
@veupathdb/genomics-site,1.3.49,306147233,0,74,1.0,74,-74
name-suggestion-index,7.2.20260515,136712968,15,32,0.6809,47,-17
@kolbo/kolbo-code-linux-x64-musl,2.1.25,156364981,0,0,0.0,0,0
@kolbo/kolbo-code-linux-x64-baseline,2.1.25,161194237,0,0,0.0,0,0
@kolbo/kolbo-code-windows-arm64,2.1.25,171253506,0,0,0.0,0,0
@kolbo/kolbo-code-windows-x64-baseline,2.1.25,174020871,0,0,0.0,0,0
@kolbo/kolbo-code-linux-x64-baseline-musl,2.1.25,156364990,0,0,0.0,0,0
hermes-engine-cli,0.12.0,138556469,2,0,0.0,2,2
processmaker-builder,3.2.2,184427646,0,9,1.0,9,-9
@oicl/openbridge-webcomponents,1.0.1,136555486,5,63,0.9265,68,-58
@kolbo/kolbo-code-linux-arm64,2.1.25,161436336,0,0,0.0,0,0
slopcode-bin-darwin-x64-baseline,0.2.115,248021242,0,0,0.0,0,0
slopcode-bin-linux-arm64,0.2.115,290560266,0,0,0.0,0,0
@kolbo/kolbo-code-windows-x64,2.1.25,174020862,0,0,0.0,0,0
slopcode-bin-darwin-arm64,0.2.115,243985833,0,0,0.0,0,0
@kolbo/kolbo-code-darwin-arm64,2.1.25,120347810,0,0,0.0,0,0
slopcode-bin-windows-x64,0.2.115,300903584,0,0,0.0,0,0
bmad-agent-init,1.0.12,296381283,0,7,1.0,7,-7
@ensdomains/ens-contracts,1.7.0,137725908,127,39,0.2349,166,88
bids-validator,1.15.0,126850967,4,40,0.9091,44,-36
slopcode-bin-darwin-x64,0.2.115,248021233,0,0,0.0,0,0
@lunapaint/tga-codec,0.2.0,298520556,4,11,0.7333,15,-7
@deno/win32-x64,2.7.14,127973664,0,0,0.0,0,0
slopcode-bin-windows-x64-baseline,0.2.115,300451497,0,0,0.0,0,0
@toolbox-sdk/server-win32-x64,1.2.0,265853114,0,0,0.0,0,0
@minecraft/creator-tools,0.17.0,158709588,1,29,0.9667,30,-28
@ketryx/cli-linux-x64,0.1.1,117096411,0,0,0.0,0,0
@kolbo/kolbo-code-darwin-x64-baseline,2.1.25,125005639,0,0,0.0,0,0
@kolbo/kolbo-code-darwin-x64,2.1.25,125005630,0,0,0.0,0,0
@clerk/cli-win32-x64,1.2.0,117522102,0,0,0.0,0,0
@kolbo/kolbo-code-linux-arm64-musl,2.1.25,155876849,0,0,0.0,0,0
@postman/pm-bin-linux-x64,1.37.0,247253393,0,0,0.0,0,0
tree-sitter-ocaml,0.24.2,209266492,15,5,0.25,20,10
all-the-package-repos,2.0.2896,233606284,6,13,0.6842,19,-7
@cdxgen/cdxgen-plugins-bin-windows-amd64,2.1.1,199935574,0,0,0.0,0,0
@lifeaitools/clauth,1.5.82,135846362,0,9,1.0,9,-9
datastake-daf,0.7.145,152791135,0,80,1.0,80,-80
grab,0.1.37,39306369,0,1,1.0,1,-1
@cdxgen/cdxgen-plugins-bin-darwin-arm64,2.1.1,298127180,0,0,0.0,0,0
heraldvox-cli,1.4.2,238944329,0,55,1.0,55,-55
@superdoc-dev/cli-windows-x64,0.10.1,130346964,0,0,0.0,0,0
